(Hungarian Reformed Evangelical Christian Church) Grimsby Dairy Lane, Toronto, Ontario, M5T 1S3
(Free Times Cafe) 320 College Street, Toronto, Ontario, M5T 1S5
(Prague Restaurant) Confederation Drive, Toronto, Ontario, M1G 1G8
(University of Toronto Campus Police) 21 Sussex Avenue, Toronto, Ontario, M5S 1J6
(Esso) Dundas Street East, Toronto, Ontario, L6H 6M3
(CAMH underground parking) 250 College Street, Toronto, Ontario, M5T 1R8
(Pizza Pizza) 1193 Bloor Street West, Toronto, Ontario, M6H 1N4
(TD Canada Trust) Dundas Street West, Toronto, Ontario, M6J 1X2
(CIBC) 235 Ossington Avenue, Toronto, Ontario, M6J 2Z4
(Pizza Pizza) 1124 Queen Street West, Toronto, Ontario, M6J 1J3
(St. Sebastian's Church) Pauline Avenue, Toronto, Ontario, M6H 3M8
(Coffee Time) Lansdowne Avenue, Toronto, Ontario, M6H 3Z6
(OLCO) 1170 Dupont Street, Toronto, Ontario, M6H 2C8
(Galilee Presbyterian Church) Davenport Road, Toronto, Ontario, M6G 4A9
(Toronto Public Library - Davenport) 1087 Davenport Road, Toronto, Ontario, M6G 3Z6
(McDonald's) Dr Howard Lowrie Lane, Toronto, Ontario, M6C 2X6
(CIBC) 535 St. Clair Avenue West, Toronto, Ontario, M6G 2N4
(St. Alphonsus Catholic Church) 81 Vaughan Road, Toronto, Ontario, M6C 1A4
(Shoppers Drug Mart) 523 St. Clair Avenue West, Toronto, Ontario, M6C 1C0
(St. Clair Avenue Baptist Church) Wychwood Avenue, Toronto, Ontario, M6C 1A9
(Shell) 1290 Dupont Street, Toronto, Ontario, M6H 2C7
(Tim Hortons) 455 Spadina Avenue, Toronto, Ontario, M5T 1R6
(CIBC) 270 College Street, Toronto, Ontario, M5T 1R9
(Pizza Nova) Davenport Road, Toronto, Ontario, M5R 1K9
(RBC) 30 St. Clair Avenue West, Toronto, Ontario, M4V 1M7
(Scotiabank) 1 St. Clair Avenue East, Toronto, Ontario, M4T 1Y9
(30 St Clair Ave W garage) 30 St. Clair Avenue West, Toronto, Ontario, M4V 1M7
(Shoppers Drug Mart) 360A Bloor Street West, Toronto, Ontario, M5S 1X1
(St George Street) Russell Street, Toronto, Ontario, M5S 2K2
(Scotiabank Theatre Toronto) Lane South Richmond West Widmer, Toronto, Ontario, M5V 2E9
(Shell) 1077 Yonge Street, Toronto, Ontario, M4W 2L7
(TD Canada Trust) 1148 Yonge Street, Toronto, Ontario, M4W 2L7
(Sobeys parking) 79-81 St. Clair Avenue East, Toronto, Ontario, M4T 3A4
(Pharmasave) Yonge Street, Toronto, Ontario, M4T 1Y4
(Duke of York) 39 Prince Arthur Avenue, Toronto, Ontario, M5R 2G2
(Shell) 3 Claxton Boulevard, Toronto, Ontario, M6C 4B3
(Pi Co.) St. Clair Avenue West, Toronto, Ontario, M6C 1B1
(Papa Ceo Pizza) 654 Spadina Avenue, Toronto, Ontario, M5S 1G2
(Cora's Pizza) 654 Spadina Avenue, Toronto, Ontario, M5S 1G2
(Shoppers Drug Mart) 463 College Street, Toronto, Ontario, M6G 4C1
(Harry's Charbroiled) 293 Palmerston Avenue, Toronto, Ontario, M6J 2J3
(National Bank) 747 College Street, Toronto, Ontario, M6G 1C5
(Trinity Drug Store) Dundas Street West, Toronto, Ontario, M6J 1T9
(Guardian) 757 Dundas Street West, Toronto, Ontario, M6J 1T9
(7-Eleven) Dundas Street West, Toronto, Ontario, M6J 1W1
(Pizza Nova) College Street, Toronto, Ontario, M6G 1C2
(BMO) 568 College Street, Toronto, Ontario, M6G 1C2
(The Fourth Man in the Fire) Dundas Street West, Toronto, Ontario, M6J 1W1
(Living Water Assembly) Claremont Street, Toronto, Ontario, M6J 1V9
(BMO) 1102 Dundas Street West, Toronto, Ontario, M6J 1X2
(Monarch Tavern) 37 Henderson Avenue, Toronto, Ontario, M6J 2N8
(California Sandwiches) 244 Claremont Street, Toronto, Ontario, M6J 1V9
(Hilary's Pharmacy) 156 Palmerston Avenue, Toronto, Ontario, M6J 1V2
(Medical Pharmacy) 340 College Street, Toronto, Ontario, M5T 1S5
